stock,gross_traded,reported_pnl,n_orders,variable_fee,flat_fee,total_fee,net_pnl
EMAAR UH Equity,231153735.85,17811.4,5790,358288.29,60795.0,419083.29,-401271.89
EMAARDEV UH Equity,118951907.3,-94003.55,3191,184375.46,33505.5,217880.96,-311884.51
