stock,total_pnl_aed,average_daily_pnl_aed,number_of_trading_days,profitable_days,losing_days,flat_days,total_volume_shares,total_gross_traded_value_aed,max_drawdown_aed,total_number_of_fills
EMAAR UH Equity,17811.4,848.16,21,10,11,0,16905509.0,235019340.15,-24620.45,19365
EMAARDEV UH Equity,-94003.55,-4476.36,21,13,8,0,8566491.0,121416116.4,-72804.9,9640
